,job_title,job_category,salary,experience_level,employment_type,work_setting,company_size
7574,Machine Learning Scientist,Machine Learning and AI,180000,Executive,Full-time,Remote,S
7575,AI Scientist,Machine Learning and AI,200000,Executive,Full-time,Remote,S
7576,Data Scientist,Data Science and Research,204100,Senior,Full-time,In-person,M
7577,Data Scientist,Data Science and Research,136100,Senior,Full-time,In-person,M
7578,Analytics Engineer,Leadership and Management,250000,Senior,Full-time,In-person,M
7579,Analytics Engineer,Leadership and Management,63000,Senior,Full-time,In-person,M
7580,Data Scientist,Data Science and Research,191475,Senior,Full-time,Remote,M
7581,Data Scientist,Data Science and Research,141525,Senior,Full-time,Remote,M
7582,Data Scientist,Data Science and Research,191475,Senior,Full-time,Remote,M
7583,Data Scientist,Data Science and Research,141525,Senior,Full-time,Remote,M
7584,Data Scientist,Data Science and Research,191475,Senior,Full-time,Remote,M
7585,Data Scientist,Data Science and Research,141525,Senior,Full-time,Remote,M
7586,Data Specialist,Data Management and Strategy,95000,Senior,Full-time,Remote,M
