,job_title,job_category,salary,experience_level,employment_type,work_setting,company_size
7284,Data Architect,Data Architecture and Modeling,230400,Senior,Full-time,In-person,M
7285,Data Engineer,Data Engineering,145000,Senior,Full-time,In-person,M
7286,Data Engineer,Data Engineering,115000,Senior,Full-time,In-person,M
7287,Data Analyst,Data Analysis,175950,Senior,Full-time,Remote,M
7288,Data Analyst,Data Analysis,130050,Senior,Full-time,Remote,M
7289,Data Engineer,Data Engineering,205600,Senior,Full-time,In-person,L
7290,Data Engineer,Data Engineering,105700,Senior,Full-time,In-person,L
7291,Data Analyst,Data Analysis,236600,Senior,Full-time,Remote,M
7292,Data Analyst,Data Analysis,89200,Senior,Full-time,Remote,M
7293,Data Scientist,Data Science and Research,80000,Entry-level,Full-time,Remote,L
7294,Data Science Lead,Data Science and Research,165000,Senior,Full-time,Hybrid,S
7295,Data Engineer,Data Engineering,185900,Senior,Full-time,In-person,M
7296,Data Engineer,Data Engineering,129300,Senior,Full-time,In-person,M
7297,Data Analyst,Data Analysis,169000,Senior,Full-time,In-person,M
7298,Data Analyst,Data Analysis,110600,Senior,Full-time,In-person,M
7299,Data Engineer,Data Engineering,225000,Senior,Full-time,In-person,M
7300,Data Engineer,Data Engineering,184100,Senior,Full-time,In-person,M
7301,Data Scientist,Data Science and Research,185900,Senior,Full-time,In-person,M
7302,Data Scientist,Data Science and Research,129300,Senior,Full-time,In-person,M
7303,Data Scientist,Data Science and Research,225000,Senior,Full-time,In-person,M
7304,Data Scientist,Data Science and Research,156400,Senior,Full-time,In-person,M
7305,Data Scientist,Data Science and Research,185900,Senior,Full-time,In-person,M
7306,Data Scientist,Data Science and Research,129300,Senior,Full-time,In-person,M
7307,Machine Learning Engineer,Machine Learning and AI,108000,Entry-level,Full-time,In-person,S
7308,Data Scientist,Data Science and Research,155000,Senior,Full-time,Remote,M
7309,Data Scientist,Data Science and Research,38000,Senior,Full-time,Remote,M
7310,Data Analyst,Data Analysis,85000,Mid-level,Full-time,In-person,M
7311,Data Analyst,Data Analysis,65000,Mid-level,Full-time,In-person,M
7312,Data Scientist,Data Science and Research,155000,Senior,Full-time,Remote,M
7313,Data Scientist,Data Science and Research,38000,Senior,Full-time,Remote,M
7314,Data Scientist,Data Science and Research,153600,Senior,Full-time,Remote,M
7315,Data Scientist,Data Science and Research,106800,Senior,Full-time,Remote,M
7316,Data Scientist,Data Science and Research,185000,Senior,Full-time,Remote,M
7317,Data Scientist,Data Science and Research,50000,Senior,Full-time,Remote,M
7318,Data Engineer,Data Engineering,185900,Senior,Full-time,In-person,M
7319,Data Engineer,Data Engineering,129300,Senior,Full-time,In-person,M
7320,Data Scientist,Data Science and Research,155000,Senior,Full-time,Remote,M
7321,Data Scientist,Data Science and Research,38000,Senior,Full-time,Remote,M
7322,Data Scientist,Data Science and Research,168000,Senior,Full-time,Remote,M
7323,Data Scientist,Data Science and Research,130000,Senior,Full-time,Remote,M
7324,Data Scientist,Data Science and Research,123400,Senior,Full-time,In-person,M
